t,count
1516571853,3
1516571854,3
1516571855,3
1516571856,3
1516571857,3
1516571858,3
1516571859,3
1516571860,3
1516571861,3
1516571862,3
1516571863,3
1516571864,3
1516571865,3
1516571866,3
1516571867,3
1516571868,3
1516571869,3
1516571870,3
1516571871,3
1516571872,3
1516571873,3
1516571874,3
1516571875,3
1516571876,3
1516571877,3
1516571878,3
1516571879,3
1516571880,3
1516571881,3
1516571882,3
1516571883,3
1516571884,3
1516571885,3
1516571886,3
1516571887,3
1516571888,3
1516571889,3
1516571890,3
1516571891,3
1516571892,3
1516571893,3
1516571894,3
1516571895,3
1516571896,3
1516571897,3
1516571898,3
1516571899,3
1516571900,3
1516571901,3
1516571902,3
1516571903,3
1516571904,3
1516571905,3
1516571906,3
1516571907,3
1516571908,3
1516571909,3
1516571910,3
1516571911,3
1516571912,3
1516571913,3
1516571914,3
1516571915,3
1516571916,3
1516571917,3
1516571918,3
1516571919,3
1516571920,3
1516571921,3
1516571922,3
1516571923,3
1516571924,3
1516571925,3
1516571926,3
1516571927,3
1516571928,3
1516571929,3
1516571930,3
1516571931,3
1516571932,3
1516571933,3
1516571934,3
1516571935,3
1516571936,3
1516571937,3
1516571938,3
1516571939,3
1516571940,3
1516571941,3
1516571942,3
1516571943,3
1516571944,3
1516571945,3
1516571946,3
1516571947,3
1516571948,3
1516571949,3
1516571950,3
1516571951,3
1516571952,3
1516571953,3
1516571954,3
1516571955,3
1516571956,3
1516571957,3
1516571958,3
1516571959,3
1516571960,3
1516571961,3
